oldcode;intenzita_spatne;zrnitost_mix;opatreni;odber_i_stav;intenzita opravena
Lab_080221_24a_20_60_S1_1MFIL_D1;60;S1;1MFIL;D1;60
Lab_080221_24a_20_60_S2_1MFIL_D2;60;S2;1MFIL;D2;60
Lab_080221_24a_20_60_S3_1MFIL_D3;60;S3;1MFIL;D3;60
Lab_080221_24a_20_60_W1_1MFIL_W1;60;W1;1MFIL;W1;60
Lab_080221_24a_20_60_W2_1MFIL_W2;60;W2;1MFIL;W2;60
Lab_080221_24a_20_60_W3_1MFIL_W3;60;W3;1MFIL;W3;60
Lab_080221_24b_20_60_W1_1MFIL_W1;60;W1;1MFIL;W1;120
Lab_080221_24b_20_60_W2_1MFIL_W2;60;W2;1MFIL;W2;120
Lab_080221_24c_20_60_W1_1MFIL_W1;60;W1;1MFIL;W1;160
Lab_080221_24c_20_60_W2_1MFIL_W2;60;W2;1MFIL;W2;160
Lab_121120_14_20_60_D1_3MFIL_D1;60;D1;3MFIL;D1;60
Lab_121120_14_20_60_D2_3MFIL_D2;60;D2;3MFIL;D2;60
Lab_121120_14_20_60_D3_3MFIL_D3;60;D3;3MFIL;D3;60
Lab_121120_14_20_60_W1_3MFIL_W1;60;W1;3MFIL;W1;60
Lab_121120_14_20_60_W2_3MFIL_W2;60;W2;3MFIL;W2;60
Lab_121120_14_20_60_W3_3MFIL_W3;60;W3;3MFIL;W3;60
Lab_121120_15_20_120_D1_3MFIL_W1;120;D1;3MFIL;W1;120
Lab_121120_15_20_120_D2_3MFIL_W2;120;D2;3MFIL;W2;120
Lab_121120_15_20_120_W1_3MFIL_W1;120;W1;3MFIL;W1;160
Lab_121120_15_20_120_W3_3MFIL_W2;120;W3;3MFIL;W2;160
Lab_171120_16_20_60_D1_4MFIL_D1;60;D1;4MFIL;D1;60
Lab_171120_16_20_60_D2_4MFIL_D2;60;D2;4MFIL;D2;60
Lab_171120_16_20_60_D3_4MFIL_D3;60;D3;4MFIL;D3;60
Lab_171120_16_20_60_W1_4MFIL_W1;60;W1;4MFIL;W1;60
Lab_171120_16_20_60_W2_4MFIL_W2;60;W2;4MFIL;W2;60
Lab_171120_16_20_60_W3_4MFIL_W3;60;W3;4MFIL;W3;60
Lab_191120_17_20_120_D1_4MFIL_W1;120;D1;4MFIL;W1;120
Lab_191120_17_20_120_D2_4MFIL_W2;120;D2;4MFIL;W2;120
Lab_191120_17_20_120_W1_4MFIL_W1;120;W1;4MFIL;W1;160
Lab_191120_17_20_120_W2_4MFIL_W2;120;W2;4MFIL;W2;160
Lab_040221_23a_20_60_D1_BRECP_D1;60;D1;BRECP;D1;60
Lab_040221_23a_20_60_S2_BRECP_D2;60;S2;BRECP;D2;60
Lab_040221_23a_20_60_D3_BRECP_D3;60;D3;BRECP;D3;60
Lab_040221_23a_20_60_W1_BRECP_W1;60;W1;BRECP;W1;60
Lab_040221_23a_20_60_M2_BRECP_W2;60;M2;BRECP;W2;60
Lab_040221_23a_20_60_W3_BRECP_W3;60;W3;BRECP;W3;60
Lab_040221_23b_20_60_M1_BRECP_W1;60;M1;BRECP;W1;120
Lab_040221_23b_20_60_M3_BRECP_W2;60;M3;BRECP;W2;120
Lab_040221_23c_20_60_M1_BRECP_W1;60;M1;BRECP;W1;160
Lab_040221_23c_20_60_M3_BRECP_W2;60;M3;BRECP;W2;160
Lab_261120_18_20_60_D1_BSOIL_D1;60;D1;BSOIL;D1;60
Lab_261120_18_20_60_D2_BSOIL_D2;60;D2;BSOIL;D2;60
Lab_261120_18_20_60_D3_BSOIL_D3;60;D3;BSOIL;D3;60
Lab_021120_09_20_60_M2_BSOIL_W1;60;M2;BSOIL;W1;60
Lab_021120_09_20_60_M7_BSOIL_W2;60;M7;BSOIL;W2;60
Lab_021120_09_20_60_M12_BSOIL_W3;60;M12;BSOIL;W3;60
Lab_261120_19_20_120_D1_BSOIL_W1;120;D1;BSOIL;W1;120
Lab_261120_19_20_120_D2_BSOIL_W2;120;D2;BSOIL;W2;120
Lab_261120_20_20_160_D1_BSOIL_W1;160;D1;BSOIL;W1;160
Lab_021120_12_20_160_S5_BSOIL_W2;160;S5;BSOIL;W2;160
Lab_160221_25a_20_60_D1_FRECP_D1;60;D1;FRECP;D1;60
Lab_160221_25a_20_60_D2_FRECP_D2;60;D2;FRECP;D2;60
Lab_160221_25a_20_60_D3_FRECP_D3;60;D3;FRECP;D3;60
Lab_160221_25a_20_60_W1_FRECP_W1;60;W1;FRECP;W1;60
Lab_160221_25a_20_60_W2_FRECP_W2;60;W2;FRECP;W2;60
Lab_160221_25a_20_60_W3_FRECP_W3;60;W3;FRECP;W3;60
Lab_160221_25b_20_60_W1_FRECP_W1;60;W1;FRECP;W1;120
Lab_160221_25b_20_60_W2_FRECP_W2;60;W2;FRECP;W2;120
Lab_160221_25c_20_60_W1_FRECP_W1;60;W1;FRECP;W1;160
Lab_160221_25c_20_60_W2_FRECP_W2;60;W2;FRECP;W2;160
